latitude,longitude,ignition_date,area_ha,state,shape_area
-33.79833958,119.94000366633375,2019-04-01T00:00:00.000Z,1918,WA (Western Australia),0.001872658
-31.82101578,115.95987023476141,2006-12-03T00:00:00.000Z,377,WA (Western Australia),0.000358659
-32.38986497,152.2450911391247,1989-10-07T00:00:00.000Z,31,NSW (New South Wales),2.9891533813e-05
-36.45854537,146.75811958760792,1981-01-01T00:00:00.000Z,102,VIC (Victoria),0.00010255
-14.97368979,144.28340775544606,2012-09-15T00:00:00.000Z,11811,QLD (Queensland),0.010356136
-24.7015967,151.9591915084844,2005-12-19T00:00:00.000Z,2242,QLD (Queensland),0.00200009
-28.37415885,153.44847174700183,1899-11-30T00:00:00.000Z,46,NSW (New South Wales),4.2165182549e-05
-33.21251488,150.96792977866224,1997-12-04T00:00:00.000Z,16,NSW (New South Wales),1.5491456452e-05
-29.95595658,151.15655613386136,1899-11-30T00:00:00.000Z,141,NSW (New South Wales),0.000131767
-37.25215347,141.0116813590242,1975-01-01T00:00:00.000Z,2486,VIC (Victoria),0.00252498
-37.21128685,147.18503373379892,2009-02-06T00:00:00.000Z,14316,VIC (Victoria),0.014537166
-37.09191027,142.18293319405518,2019-12-31T00:00:00.000Z,158,VIC (Victoria),0.000160179
-32.79629402,151.42915576517083,1899-11-30T00:00:00.000Z,18,NSW (New South Wales),1.7481891973e-05
-27.3829421,152.79123175301828,1986-09-18T00:00:00.000Z,250,QLD (Queensland),0.000242189
-29.43889203,152.45178318543543,2002-10-18T00:00:00.000Z,6214,NSW (New South Wales),0.005777197
-36.31591552,140.02824645056063,2021-11-18T00:00:00.000Z,19,SA (South Australia),1.9457614144e-05
-43.29612021,147.29780466215658,1994-12-04T00:00:00.000Z,46,TAS (Tasmania),5.0600353461e-05
-37.76143826,148.32362433515272,1969-01-01T00:00:00.000Z,425,VIC (Victoria),0.000434203
-25.56645152,152.77655582325613,1996-01-01T00:00:00.000Z,238,QLD (Queensland),0.000213482
-26.32839014,150.78189777978145,1942-09-01T00:00:00.000Z,12,QLD (Queensland),1.115875898e-05
-26.75940279,152.62226290942124,2018-08-17T00:00:00.000Z,160,QLD (Queensland),0.000144906
-26.41486339,153.09694151768574,1976-01-04T00:00:00.000Z,27,QLD (Queensland),2.4058690769e-05
-26.88366135,152.66356679067516,2009-09-25T00:00:00.000Z,1879,QLD (Queensland),0.001707151
-34.21898229,151.00089826961647,1899-11-30T00:00:00.000Z,18,NSW (New South Wales),1.716612087e-05
-32.01640157,152.37712024900245,1899-11-30T00:00:00.000Z,43,NSW (New South Wales),4.0958707359e-05
-24.9016426,151.04318250070597,2012-09-28T00:00:00.000Z,696,QLD (Queensland),0.000622231
-36.56531146,148.41493397725245,1899-11-30T00:00:00.000Z,66,NSW (New South Wales),6.6841034368e-05
-25.49330611,150.4885611840425,2019-11-04T00:00:00.000Z,2421,QLD (Queensland),0.002173608
-37.58381463,142.6294671748515,1985-01-01T00:00:00.000Z,4992,VIC (Victoria),0.005091886
-31.28098846,152.88173642555168,2000-08-08T00:00:00.000Z,1484,NSW (New South Wales),0.001405809
-31.70727865,152.51383050382182,1899-11-30T00:00:00.000Z,28,NSW (New South Wales),2.6533928121e-05
-31.381356,133.0830800238392,1995-12-31T00:00:00.000Z,740,SA (South Australia),0.000701788
-27.02897597,130.8554829315816,1988-12-31T00:00:00.000Z,840,SA (South Australia),0.000763801
-38.1151572,141.38057514392779,1986-01-01T00:00:00.000Z,3890,VIC (Victoria),0.003995831
-29.18156434,152.8177472204754,2000-07-26T00:00:00.000Z,1074,NSW (New South Wales),0.000996478
-32.99830806,151.72955771496117,1899-11-30T00:00:00.000Z,13,NSW (New South Wales),1.2347758911e-05
-43.08853444,147.23509108180863,1982-01-01T00:00:00.000Z,491,TAS (Tasmania),0.000542411
-35.29445343,148.0813727,1899-11-30T00:00:00.000Z,98,NSW (New South Wales),9.7569367426e-05
-36.26179243,140.16808829584107,1987-01-06T00:00:00.000Z,265,SA (South Australia),0.000265779
-30.18137401,115.25201818371322,2014-04-23T00:00:00.000Z,171,WA (Western Australia),0.000159709
-29.17277058,152.85096566320252,2018-07-23T00:00:00.000Z,1744,NSW (New South Wales),0.00161742
-23.30438578,150.55177898099637,2009-06-16T00:00:00.000Z,813,QLD (Queensland),0.000717264
-29.91183876,152.49168745769578,2000-03-10T00:00:00.000Z,245,NSW (New South Wales),0.000228448
-31.75045961,152.54633486449325,1899-11-30T00:00:00.000Z,36,NSW (New South Wales),3.4044978747e-05
-29.46741816,152.77298086815316,2021-09-02T00:00:00.000Z,186,NSW (New South Wales),0.000173315
-32.62512476,148.95220353780383,2006-02-07T00:00:00.000Z,52,NSW (New South Wales),4.9525752274e-05
-38.70645358,143.6937487,1967-01-01T00:00:00.000Z,1324,VIC (Victoria),0.001371595
-29.88402899,152.50730367427155,2005-08-10T00:00:00.000Z,10,NSW (New South Wales),9.700161172e-06
-32.71433895,150.53178498723773,2018-01-08T00:00:00.000Z,36,NSW (New South Wales),3.4653719013e-05
-14.6640909,125.77111855663279,2017-07-18T00:00:00.000Z,29905,WA (Western Australia),0.0264625
-26.03738791,153.0295366273301,1982-12-09T00:00:00.000Z,108,QLD (Queensland),9.7716068012e-05
-33.59510229,116.2379533,2015-05-15T00:00:00.000Z,353,WA (Western Australia),0.000342681
-33.31794761,116.33516435664616,2022-10-19T00:00:00.000Z,284,WA (Western Australia),0.000279804
-11.905,142.5355656039647,2012-10-04T00:00:00.000Z,10936,QLD (Queensland),0.009581153
-29.97850751,152.49195749839427,1899-11-30T00:00:00.000Z,553,NSW (New South Wales),0.00051728
-37.22502968,144.34635729179828,1997-01-01T00:00:00.000Z,16,VIC (Victoria),1.6172849882e-05
-35.99247723,148.12102773644497,2019-01-18T00:00:00.000Z,10,VIC (Victoria),1.0313104667e-05
-28.66841197,152.67545489810647,1899-11-30T00:00:00.000Z,316,NSW (New South Wales),0.000291394
-25.09585603,152.53856381001378,2014-01-14T00:00:00.000Z,492,QLD (Queensland),0.00044055
-32.21247994,151.98788492748415,2002-10-04T00:00:00.000Z,720,NSW (New South Wales),0.000688474
-27.95852736,152.27814159418307,2002-11-26T00:00:00.000Z,983,QLD (Queensland),0.000901691
-35.51741703,143.37722680917955,2016-12-28T00:00:00.000Z,1129,VIC (Victoria),0.001121849
-33.98465956,140.6240325983713,1973-10-05T00:00:00.000Z,110,SA (South Australia),0.000107188
-32.36591605,152.15660428440006,2007-09-17T00:00:00.000Z,45,NSW (New South Wales),4.2938854222e-05
-29.81517536,152.0877581954112,1899-11-30T00:00:00.000Z,16,NSW (New South Wales),1.4945817384e-05
-25.90725542,147.2256733979858,2013-11-03T00:00:00.000Z,22665,QLD (Queensland),0.02042547
-35.34097459,149.20702303510092,2002-12-21T00:00:00.000Z,103,ACT (Australian Capital Territory),0.000102382
-29.09787165,128.74439090658714,2011-12-01T00:00:00.000Z,17551,SA (South Australia),0.017169603
-16.78406281,145.38534190321633,2023-09-02T00:00:00.000Z,9526,QLD (Queensland),0.008074522
-37.04738713,148.59910655894834,1939-01-01T00:00:00.000Z,16651,VIC (Victoria),0.016869196
-29.57982361,128.3930769898053,2019-12-23T00:00:00.000Z,464,WA (Western Australia),0.000461063
-29.9264625,152.81194068047722,2009-10-06T00:00:00.000Z,463,NSW (New South Wales),0.000432284
-32.62537746,150.5768918453968,1899-11-30T00:00:00.000Z,275,NSW (New South Wales),0.000264512
-42.44693774,147.77845761481507,1994-10-27T00:00:00.000Z,183,TAS (Tasmania),0.000200112
-30.79624976,151.86668214419066,1899-11-30T00:00:00.000Z,139,NSW (New South Wales),0.000130708
-25.16207972,152.55909940088864,2012-12-20T00:00:00.000Z,97,QLD (Queensland),8.642359353e-05
-26.59136881,152.30299749158684,2012-12-06T00:00:00.000Z,844,QLD (Queensland),0.000764478
-22.92926752,150.70586240810945,2017-12-25T00:00:00.000Z,2699,QLD (Queensland),0.002375988
-37.57975039,140.9702324744433,2015-10-31T00:00:00.000Z,35,VIC (Victoria),3.5670443594e-05
-28.44606068,132.09921933080224,1988-12-31T00:00:00.000Z,2014,SA (South Australia),0.001855401
-34.27041609,150.93466991556522,2015-12-11T00:00:00.000Z,317,NSW (New South Wales),0.000310249
-32.4146448,116.23132770088776,2010-12-19T00:00:00.000Z,63,WA (Western Australia),6.0012612948e-05
-31.42659384,133.3629079530156,2007-12-31T00:00:00.000Z,5018,SA (South Australia),0.004801878
-40.95436823,148.13228468141375,2021-01-12T00:00:00.000Z,17,TAS (Tasmania),1.8667898985e-05
-37.57082507,148.91463892350194,1981-01-01T00:00:00.000Z,199,VIC (Victoria),0.000203303
-35.110919,137.36246887383854,1958-02-24T00:00:00.000Z,26,SA (South Australia),2.5541127343e-05
-21.88974837,115.36741541113543,2014-01-14T00:00:00.000Z,514,WA (Western Australia),0.000460388
-24.45942665,148.55753064457093,2021-09-27T00:00:00.000Z,1260,QLD (Queensland),0.001121998
-16.85244319,124.92796287593366,2014-11-10T00:00:00.000Z,1400,WA (Western Australia),0.0011875
-33.28819559,150.43776069143078,1899-11-30T00:00:00.000Z,738,NSW (New South Wales),0.000714369
-37.31093293,149.35950168300002,1899-11-30T00:00:00.000Z,27492,NSW (New South Wales),0.027941859
-27.74648443,151.16122078203628,1951-11-01T00:00:00.000Z,2057,QLD (Queensland),0.001882874
-29.86988555,152.50032214909953,1899-11-30T00:00:00.000Z,56,NSW (New South Wales),5.241768622e-05
